node_id1 node_id2 t label
20790 14446 8 Authoring
49942 14446 8 Authoring
49943 14446 8 Authoring
49944 14446 8 Authoring
49945 14447 8 Authoring
49946 14447 8 Authoring
47478 14447 8 Authoring
49948 14447 8 Authoring
49949 14448 8 Authoring
49950 14448 8 Authoring
49832 14448 8 Authoring
17030 14448 8 Authoring
49736 14449 8 Authoring
20314 14449 8 Authoring
49955 14450 8 Authoring
49956 14451 8 Authoring
16994 14451 8 Authoring
49958 14452 8 Authoring
19368 14452 8 Authoring
49960 14452 8 Authoring
49961 14453 8 Authoring
16858 14453 8 Authoring
49963 14454 8 Authoring
49964 14454 8 Authoring
49965 14454 8 Authoring
19315 14455 8 Authoring
49967 14455 8 Authoring
49968 14455 8 Authoring
49969 14456 8 Authoring
49970 14457 8 Authoring
19264 14457 8 Authoring
49972 14458 8 Authoring
49973 14458 8 Authoring
16829 14458 8 Authoring
49975 14459 8 Authoring
49976 14459 8 Authoring
49977 14459 8 Authoring
49978 14460 8 Authoring
49979 14460 8 Authoring
49980 14460 8 Authoring
49981 14461 8 Authoring
49982 14461 8 Authoring
49983 14461 8 Authoring
49984 14461 8 Authoring
49985 14461 8 Authoring
49986 14462 8 Authoring
20328 14462 8 Authoring
16994 14462 8 Authoring
49989 14463 8 Authoring
19238 14463 8 Authoring
49991 14464 8 Authoring
19119 14464 8 Authoring
20187 14464 8 Authoring
49994 14465 8 Authoring
20827 14465 8 Authoring
19112 5671 9 Authoring
19113 5671 9 Authoring
19114 5671 9 Authoring
19115 5671 9 Authoring
19116 5672 9 Authoring
19117 5672 9 Authoring
19118 5673 9 Authoring
19119 5673 9 Authoring
17014 5673 9 Authoring
55984 5673 9 Authoring
19121 5674 9 Authoring
19122 5674 9 Authoring
19123 5674 9 Authoring
19124 5674 9 Authoring
19125 5675 9 Authoring
19126 5675 9 Authoring
19127 5675 9 Authoring
19128 5676 9 Authoring
19129 5676 9 Authoring
19130 5676 9 Authoring
19131 5677 9 Authoring
19132 5677 9 Authoring
19133 5677 9 Authoring
19134 5678 9 Authoring
19135 5678 9 Authoring
19136 5679 9 Authoring
19127 5679 9 Authoring
19138 5680 9 Authoring
19127 5680 9 Authoring
19140 5680 9 Authoring
19141 5680 9 Authoring
19142 5681 9 Authoring
19143 5681 9 Authoring
19144 5681 9 Authoring
19145 5681 9 Authoring
19146 5682 9 Authoring
19147 5682 9 Authoring
19148 5682 9 Authoring
55985 5682 9 Authoring
19149 5683 9 Authoring
19150 5683 9 Authoring
19151 5683 9 Authoring
19152 5683 9 Authoring
19153 5683 9 Authoring
19154 5683 9 Authoring
19155 5684 9 Authoring
19156 5684 9 Authoring
19157 5684 9 Authoring
19158 5684 9 Authoring
19159 5684 9 Authoring
19160 5685 9 Authoring
19161 5685 9 Authoring
19162 5685 9 Authoring
19163 5686 9 Authoring
19164 5686 9 Authoring
19165 5686 9 Authoring
16908 5686 9 Authoring
19167 5686 9 Authoring
19168 5686 9 Authoring
19169 5687 9 Authoring
19170 5687 9 Authoring
19171 5687 9 Authoring
19172 5688 9 Authoring
19173 5688 9 Authoring
19174 5688 9 Authoring
19175 5688 9 Authoring
19176 5688 9 Authoring
19177 5689 9 Authoring
19178 5689 9 Authoring
19179 5689 9 Authoring
19180 5689 9 Authoring
19181 5689 9 Authoring
19117 5689 9 Authoring
19183 5690 9 Authoring
19184 5690 9 Authoring
19185 5690 9 Authoring
19186 5691 9 Authoring
19187 5691 9 Authoring
19188 5691 9 Authoring
19189 5692 9 Authoring
19190 5692 9 Authoring
19191 5693 9 Authoring
16994 5693 9 Authoring
19128 5694 9 Authoring
19194 5694 9 Authoring
19196 5695 9 Authoring
19197 5695 9 Authoring
17013 5695 9 Authoring
19199 5696 9 Authoring
16908 5696 9 Authoring
19201 5697 9 Authoring
19197 5697 9 Authoring
19203 5697 9 Authoring
19204 5698 9 Authoring
19205 5698 9 Authoring
19206 5699 9 Authoring
19207 5699 9 Authoring
19208 5700 9 Authoring
19209 5700 9 Authoring
19210 5701 9 Authoring
19211 5701 9 Authoring
19212 5702 9 Authoring
19213 5702 9 Authoring
19214 5702 9 Authoring
19215 5703 9 Authoring
19216 5703 9 Authoring
19217 5703 9 Authoring
19218 5703 9 Authoring
19219 5703 9 Authoring
19220 5703 9 Authoring
